"","PLAYER_ID","fga"
"1","1626145",10
"2","1626153",3
"3","1626156",12
"4","1626157",9
"5","1626162",18
"6","1626164",9
"7","1626166",10
"8","1626167",14
"9","1626171",10
"10","1626172",2
"11","1626179",14
"12","1626181",12
"13","1626192",9
"14","1626220",5
"15","1627732",4
"16","1627736",13
"17","1627739",4
"18","1627741",11
"19","1627742",23
"20","1627747",8
"21","1627749",15
"22","1627751",6
"23","1627752",7
"24","1627759",18
"25","1627777",5
"26","1627780",4
"27","1627783",15
"28","1627824",7
"29","1627826",12
"30","1627827",10
"31","1627832",17
"32","1627884",3
"33","1628366",4
"34","1628369",17
"35","1628371",4
"36","1628374",15
"37","1628378",13
"38","1628381",12
"39","1628384",7
"40","1628386",7
"41","1628389",5
"42","1628401",13
"43","1628404",6
"44","1628415",6
"45","1628418",2
"46","1628420",3
"47","1628436",3
"48","1628449",9
"49","1628464",5
"50","1628960",6
"51","1628969",13
"52","1628970",11
"53","1628973",12
"54","1628976",7
"55","1628978",11
"56","1628981",6
"57","1628998",6
"58","1629001",10
"59","1629003",1
"60","1629012",8
"61","1629014",12
"62","1629018",6
"63","1629021",4
"64","1629027",16
"65","1629028",12
"66","1629048",1
"67","1629060",14
"68","1629111",4
"69","1629130",7
"70","1629216",2
"71","1629312",8
"72","1629599",4
"73","1629611",6
"74","1629614",8
"75","1629630",12
"76","1629631",10
"77","1629632",13
"78","1629634",5
"79","1629636",12
"80","1629637",5
"81","1629638",7
"82","1629639",10
"83","1629645",7
"84","1629651",4
"85","1629659",1
"86","1629660",7
"87","1629661",10
"88","1629675",8
"89","1629684",6
"90","1629723",1
"91","1629731",5
"92","1629750",3
"93","1630162",22
"94","1630163",19
"95","1630164",4
"96","1630166",10
"97","1630167",2
"98","1630168",12
"99","1630169",17
"100","1630171",2
"101","1630172",7
"102","1630174",4
"103","1630175",6
"104","1630178",29
"105","1630183",8
"106","1630188",8
"107","1630191",2
"108","1630193",9
"109","1630202",10
"110","1630208",4
"111","1630214",6
"112","1630217",20
"113","1630224",20
"114","1630228",9
"115","1630231",3
"116","1630241",4
"117","1630245",6
"118","1630249",2
"119","1630322",3
"120","1630526",3
"121","1630529",6
"122","1630532",16
"123","1630533",6
"124","1630534",1
"125","1630537",1
"126","1630540",10
"127","1630541",11
"128","1630544",16
"129","1630552",9
"130","1630558",10
"131","1630559",12
"132","1630560",27
"133","1630567",13
"134","1630573",10
"135","1630578",22
"136","1630579",3
"137","1630581",11
"138","1630583",16
"139","1630590",6
"140","1630591",4
"141","1630592",7
"142","1630595",22
"143","1630596",14
"144","1630611",1
"145","1630625",4
"146","1630631",3
"147","1630643",6
"148","1630696",1
"149","1630700",12
"150","1630703",18
"151","1631093",13
"152","1631094",24
"153","1631095",7
"154","1631097",8
"155","1631105",4
"156","1631106",3
"157","1631107",15
"158","1631117",7
"159","1631170",9
"160","1631200",2
"161","1631204",1
"162","1631210",1
"163","1631217",4
"164","1631218",5
"165","1631311",1
"166","1631323",4
"167","1641706",4
"168","1641707",7
"169","1641708",11
"170","1641710",9
"171","1641711",13
"172","1641712",4
"173","1641715",4
"174","1641716",2
"175","1641718",18
"176","1641722",9
"177","1641724",3
"178","1641729",2
"179","1641730",6
"180","1641737",1
"181","1641739",8
"182","1641741",2
"183","1641744",4
"184","1641763",3
"185","1641764",5
"186","1641775",1
"187","1641783",1
"188","1641796",1
"189","1641810",3
"190","1641824",3
"191","1641842",6
"192","1641854",5
"193","1641871",2
"194","1641890",3
"195","1642258",8
"196","1642261",4
"197","1642263",5
"198","1642270",2
"199","1642272",3
"200","1642274",8
"201","1642276",1
"202","1642278",2
"203","1642279",1
"204","1642281",1
"205","1642345",1
"206","1642346",5
"207","1642347",7
"208","1642355",2
"209","1642359",3
"210","1642367",4
"211","1642377",6
"212","1642419",4
"213","200768",7
"214","201142",14
"215","201143",7
"216","201144",7
"217","201569",6
"218","201572",11
"219","201587",1
"220","201935",27
"221","201939",9
"222","201950",9
"223","202066",2
"224","202684",2
"225","202696",12
"226","202699",12
"227","202709",2
"228","202710",8
"229","203078",10
"230","203081",17
"231","203083",8
"232","203110",3
"233","203468",18
"234","203471",15
"235","203484",5
"236","203486",2
"237","203497",8
"238","203501",9
"239","203507",10
"240","203552",5
"241","203903",16
"242","203914",8
"243","203924",18
"244","203937",2
"245","203944",9
"246","203952",15
"247","203991",5
"248","203992",6
"249","203994",5
"250","203995",8
"251","204060",1
"252","204456",7
"253","2544",16
